ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
190,2005,Biology,Natural Sciences,NA,NA,NA,NA,U.S. Peace Corps,Coastal Resource Manager,Non Profit,NA,Government and Social Services,Government and Social Services
191,2019,Biology,Natural Sciences,NA,NA,NA,NA,Roskamp Institute,Research Assistant,Research,NA,STEM,STEM
192,2003,Biology,Natural Sciences,NA,NA,NA,NA,unknown,Nurse Practicioner,Healthcare,Healthcare,Health and Medicine,Health and Medicine
193,2010,Biology,Natural Sciences,NA,NA,NA,NA,FL Museum of Natural History,Archivist,Museums and Institutions,Museums and Institutions,Education,Education
194,2008,Biology,Natural Sciences,NA,NA,NA,NA,Stacey Loves Science,Independent Tutor,Education,Education,Education,Education
195,2010,Biology,Natural Sciences,NA,NA,NA,NA,Hail Plantation Animal Clinic,NA,Healthcare,Healthcare,Health and Medicine,Health and Medicine
196,2012,Biology,Natural Sciences,NA,NA,NA,NA,Unknown,dentist,Dentistry,Dentistry,Health and Medicine,Health and Medicine
197,2013,Biology,Natural Sciences,NA,NA,NA,NA,Americorp,"""Americop""",Non Profit,Non Profit,Government and Social Services,Government and Social Services
198,2006,Biology,Natural Sciences,NA,NA,NA,NA,New York University,Graduate Assistant,Education,Education,Education,Education
199,2020,Biology,Natural Sciences,NA,NA,NA,NA,Insight Global,Contact Tracer,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
200,2003,Biology,Natural Sciences,NA,NA,NA,NA,University of Florida,Biological Scientist,Education,Education,Education,Education
201,2009,Biology,Natural Sciences,NA,NA,NA,NA,Eurofins,Group Leader,Research,NA,STEM,STEM
202,2007,Biology,Natural Sciences,NA,NA,NA,NA,King County Washington,Health & Wellbeing Project Manager,Government,NA,Government and Social Services,Government and Social Services
203,2014,Biology,Natural Sciences,NA,NA,NA,NA,Fred Hutchinson Cancer Research Center,"MSTP Student, Bloom Laboratory",Research,NA,STEM,STEM
204,2004,Biology,Natural Sciences,NA,NA,NA,NA,University of Missouri-Columbia,Post-Doc Lecturer,Education,Education,Education,Education
205,2008,Biology,Natural Sciences,NA,NA,NA,NA,"MEDNAX, Health Solutions Partner",Neonatologist,Medical,NA,Health and Medicine,Health and Medicine
206,2003,Biology,Natural Sciences,NA,NA,NA,NA,Harvard Medical School,Research Associate - Global Health & Social Medici,Research,NA,STEM,STEM
207,2013,Biology,Natural Sciences,NA,NA,NA,NA,Peace Corps,Peace Corps Volunteer,Government,Government,Government and Social Services,Government and Social Services
208,2010,Biology,Natural Sciences,NA,NA,NA,NA,Ringling College of Art & Design,Student Assistant,Education,Education,Education,Education
209,2005,Biology,Natural Sciences,NA,NA,NA,NA,Unknown,Environmental Scientist,Research,Research,STEM,STEM
210,2013,Biology,Natural Sciences,NA,NA,NA,NA,Baptist Hospital,Addiction Medicine Fellow,Medical,NA,Health and Medicine,Health and Medicine
211,2012,Biology,Natural Sciences,NA,NA,NA,NA,Fulbright,Fulbright Scholar-Chem,Research,Research,STEM,STEM
212,2020,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,NA,NA,Lygos,Molecular Biology Research Associate I,Research,Research,STEM,STEM
213,2007,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,NA,NA,Max Planck Institute,Scientist,Research,NA,STEM,STEM
214,2005,Political Science,Social Sciences,Biology,Natural Sciences,NA,NA,Unknown,Student,Education,Education,Education,Education
215,2006,Anthropology,Social Sciences,Biology,Natural Sciences,NA,NA,U. of Florida Emerging Pathologies Institute,Epidemologist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
216,2011,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,NA,NA,J. Gerard Correa Law Offices,Researcher,Law,Law,Government and Social Services,Government and Social Services
217,2015,Biopsychology,Interdisciplinary,Biology,Natural Sciences,NA,NA,Gateway Foundation,Substance Abuse Counselor,Healthcare Services,NA,Health and Medicine,Health and Medicine
218,2004,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,New College of Florida,Assistant Professor of Biology,Education,Education,Education,Education
219,2002,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,University of Colorado,Research Associate (post-doc),Research,Research,STEM,STEM
220,2010,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,Brown University,PhD Student,Education,Education,Education,Education
221,2014,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,National Institute of Allergy & Infectious Diseases,Postdoctoral Researcher,Research,NA,STEM,STEM
222,2003,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
223,2002,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,Companion Animal Hospital,Clinical Veterinary Technician,Healthcare Services,Healthcare Services,Health and Medicine,Health and Medicine
224,2008,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,Apple Store,Visual Merchandising/Inventory,Retail,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
225,2020,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,"Florida Affiliated Dental Support, LLC",Administrative Assistant,Dentistry,Dentistry,Health and Medicine,Health and Medicine
226,2013,Biology,Natural Sciences,Chemistry,Natural Sciences,NA,NA,Indiana University,Assoc Instructor of Dev Biology,Education,Education,Education,Education
227,2005,Biology,Natural Sciences,Gender Studies,Social Sciences,NA,NA,"Merck& Co., Inc.",Engineer,Engineering,Engineering,STEM,STEM
228,2012,Biology,Natural Sciences,Gender Studies,Social Sciences,NA,NA,Johns Hopkins University School of Medicine,Research Technologist,Education,Education,Education,Education
229,2018,Music,Humanities,Biology,Natural Sciences,NA,NA,Marie Selby Botanical Gardens,Manager of Horticultural Exhibitions,Farming,Farming,STEM,STEM
230,2013,Biology,Natural Sciences,NA,NA,NA,NA,Steady Point,Private Tutor,Education,Education,Education,Education
231,2007,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Points of Health,Acupuncture Physician,Healthcare,Healthcare,Health and Medicine,Health and Medicine
232,2003,Biopsychology,Interdisciplinary,NA,NA,NA,NA,E.W. Scripps,Developer,Entertainment,Entertainment,Arts and Media,Arts and Media
233,2011,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Jackson Veterinary Hospital,Veterinary Technician,Medical,Medical,Health and Medicine,Health and Medicine
234,2017,Biopsychology,Interdisciplinary,NA,NA,NA,NA,New College of Florida,Psychology Tech,Education,NA,Education,Education
235,2019,Biopsychology,Interdisciplinary,NA,NA,NA,NA,The Center for Organizational Effectiveness,Asistant Consultant,Consulting,Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
236,2013,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Women Against Abuse,Intake Counselor,Non Profit,Non Profit,Government and Social Services,Government and Social Services
237,2017,Biopsychology,Interdisciplinary,NA,NA,NA,NA,PetCo,Aquatics Specialist,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
238,2015,English,Humanities,NA,NA,NA,NA,Soukup Strategic Solutions,"Fundraising, Marketing & Communications Specialist",Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
239,2004,English,Humanities,NA,NA,NA,NA,Case Western Reserve University,"Student/Faculty, Researcher, Consultant",Non Profit,Non Profit,Government and Social Services,Government and Social Services
240,2007,English,Humanities,NA,NA,NA,NA,University of Texas-Austin,Administrative Assistant,Education,Education,Education,Education
241,2008,English,Humanities,NA,NA,NA,NA,Pasco Hernando Community College,Assistant Director of Libraries,Education,Education,Education,Education
242,2006,English,Humanities,NA,NA,NA,NA,Cheery the Clown,Clown,Arts & Entertainment,Arts & Entertainment,Arts and Media,Arts and Media
243,2003,English,Humanities,NA,NA,NA,NA,Eat Media,Content Strategist,IT Communications,IT Communications,STEM,STEM
244,2003,English,Humanities,NA,NA,NA,NA,The Guardian,Writer,Journalism,Journalism,Arts and Media,Arts and Media
245,2007,English,Humanities,NA,NA,NA,NA,Palm Beach State College,Professor - English,Education,Education,Education,Education
246,2007,English,Humanities,NA,NA,NA,NA,Spiralgroup,Marketing Writer,Public Relations,Public Relations,Government and Social Services,Government and Social Services
247,2005,English,Humanities,NA,NA,NA,NA,Harvard University,Software Engineer,Education,Education,Education,Education
248,2002,English,Humanities,NA,NA,NA,NA,Alexandria Public Library,Librarian,Education,Education,Education,Education
249,2002,English,Humanities,NA,NA,NA,NA,Callisto Media,Director of Content Operations,Media,NA,Arts and Media,Arts and Media
250,2007,English,Humanities,Gender Studies,Social Sciences,NA,NA,I & Love & You,Field Marketing Manager,Pet Food,Pet Food,"Business, Finance, and Retail","Business, Finance, and Retail"
251,2007,English,Humanities,Gender Studies,Social Sciences,NA,NA,FIS,Newswriter,Media,NA,Arts and Media,Arts and Media
252,2006,English,Humanities,Gender Studies,Social Sciences,NA,NA,Speedway,Bike Messenger,Communications,Communications,Arts and Media,Arts and Media
253,2002,English,Humanities,Gender Studies,Social Sciences,NA,NA,State College of Florida,Adjunct of L&L Department,Education,Education,Education,Education
254,2002,English,Humanities,Gender Studies,Social Sciences,NA,NA,Arizona State University,Assistant Professor,Education,Education,Education,Education
255,2005,English,Humanities,Performance Studies,Interdisciplinary,NA,NA,Unknown,Geologist,Environmental,NA,STEM,STEM
256,2006,English,Humanities,Performance Studies,Interdisciplinary,NA,NA,Little Grey Hat Productions,Writer/Actor/Director/Composer,Entertainment,Entertainment,Arts and Media,Arts and Media
257,2016,Chemistry,Natural Sciences,NA,NA,NA,NA,New College of Florida,Campus Visit Coordinator,Education,Education,Education,Education
258,2008,Chemistry,Natural Sciences,NA,NA,NA,NA,Veterans health administration,NA,Healthcare,Healthcare,Health and Medicine,Health and Medicine
259,2002,Chemistry,Natural Sciences,NA,NA,NA,NA,Dynamic International Ministry,Missionary to West Africa,Religion,Religion,Government and Social Services,Government and Social Services
260,2015,Chemistry,Natural Sciences,NA,NA,NA,NA,Keller Williams Realty,Licensed Realtor,Real Estate,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
261,2005,Chemistry,Natural Sciences,NA,NA,NA,NA,HCA Healthcare,Orthopaedic Surgeon,Medical,Medical,Health and Medicine,Health and Medicine
262,2003,Chemistry,Natural Sciences,NA,NA,NA,NA,Unknown,Attorney,Law,Law,Government and Social Services,Government and Social Services
263,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,Texas A&M University,Chemistry Research Assistant,Research,Research,STEM,STEM
264,2007,Chemistry,Natural Sciences,NA,NA,NA,NA,General Atomics,Director of NIF Capsule Production,Manufacturing,Manufacturing,STEM,STEM
265,2004,Chemistry,Natural Sciences,NA,NA,NA,NA,Quantcast,Staff Modeling Scientist / Engineering Manager,Engineering,Engineering,STEM,STEM
266,2011,Chemistry,Natural Sciences,NA,NA,NA,NA,Johns Hopkins University,Graduate Assistant,Education,Education,Education,Education
267,2010,Chemistry,Natural Sciences,NA,NA,NA,NA,Massachusetts Institute of Technology,Research Assistant,Education,Education,Education,Education
268,2004,Chemistry,Natural Sciences,NA,NA,NA,NA,PPD,Group Lead,Medical,NA,Health and Medicine,Health and Medicine
269,2008,Chemistry,Natural Sciences,NA,NA,NA,NA,Canopy Oak Dental,Dentist,Medical,Medical,Health and Medicine,Health and Medicine
270,2008,Chemistry,Natural Sciences,NA,NA,NA,NA,USF,Neurology Resident,Healthcare,Healthcare,Health and Medicine,Health and Medicine
271,2008,Chemistry,Natural Sciences,NA,NA,NA,NA,Univ. of Miami School of Medicine,Toxicologist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
272,2002,Chemistry,Natural Sciences,NA,NA,NA,NA,Fl. Senate Cmte on Environmental Preservation & Conservation,Staff Director,Government,Government,Government and Social Services,Government and Social Services
273,2003,Chemistry,Natural Sciences,NA,NA,NA,NA,Genentech,Regulatory Affairs Intern,Research,Research,STEM,STEM
274,2003,Chemistry,Natural Sciences,NA,NA,NA,NA,University of Arkansas for Medical Sciences,Asst. Professor & Dir. of Neuro-Oncology,Education,NA,Education,Education
275,2020,Chemistry,Natural Sciences,NA,NA,NA,NA,New College of Florida,Coordinator for Student Success & Disability,Higher education,Higher education,Education,Education
276,2002,Chemistry,Natural Sciences,NA,NA,NA,NA,Star2Star Communications,Software Developement Manager,Software Design,Software Design,STEM,STEM
277,2008,Chemistry,Natural Sciences,NA,NA,NA,NA,Regeneron,"Senior Mgr., Immune, Respiratory, & Infectious",Medical,NA,Health and Medicine,Health and Medicine
278,2016,Chemistry,Natural Sciences,NA,NA,NA,NA,Aetion,Scientist,Research,NA,STEM,STEM
279,2005,Chemistry,Natural Sciences,NA,NA,NA,NA,MIT Center for Cancer Research,Research Technician,Medical Research,Medical Research,Health and Medicine,Health and Medicine
280,2003,Chemistry,Natural Sciences,NA,NA,NA,NA,University of Wisconsin-Madison,Research Program Manager,Education,Education,Education,Education
281,2007,Chemistry,Natural Sciences,NA,NA,NA,NA,Lonza,Senior Manager,Technology,NA,STEM,STEM
282,2011,Chemistry,Natural Sciences,NA,NA,NA,NA,Intel,Process Engineer,Software,Software,STEM,STEM
283,2003,Chemistry,Natural Sciences,NA,NA,NA,NA,Georgia Inst. of Technology,PhD Candidate - Chemistry,Education,Education,Education,Education
284,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,OSRAM,Optical Engineer,Manufacturing,Manufacturing,STEM,STEM
285,2004,Chemistry,Natural Sciences,NA,NA,NA,NA,L'Oréal,Senior Scientist II,Research,Research,STEM,STEM
286,2011,Chemistry,Natural Sciences,NA,NA,NA,NA,University of British Columbia,PhD Researcher,Education,Education,Education,Education
287,2006,Chemistry,Natural Sciences,NA,NA,NA,NA,Paraxel,Medical Research Associate,Medical Research,Medical Research,Health and Medicine,Health and Medicine
288,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,Concentric Sky,Software Engineer,Software,Software,STEM,STEM
289,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,University of Oregon,Graduate Teaching Fellow,Education,Education,Education,Education
290,2005,Chemistry,Natural Sciences,NA,NA,NA,NA,First Physcians Group,Hospitalist,Medical,Medical,Health and Medicine,Health and Medicine
291,2003,Chemistry,Natural Sciences,NA,NA,NA,NA,Vacuum Therapeutics,Founder,Medical,NA,Health and Medicine,Health and Medicine
292,2002,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Johns Hopkins Kimmel Cancer Center,Physcian,Medical,Medical,Health and Medicine,Health and Medicine
293,2014,Chemistry,Natural Sciences,Classics,Humanities,NA,NA,Self Employed,Social Media Consultant,Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
294,2002,Chemistry,Natural Sciences,Physics,Natural Sciences,NA,NA,U. of Georgia,Associate Professor of Chemistry,Education,Education,Education,Education
295,2004,Art History,Humanities,Chemistry,Natural Sciences,NA,NA,Arkansas Department of Health,CDC Grant Corodinator,Public Health,NA,Health and Medicine,Health and Medicine
296,2013,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Johns Hopkins All Childrens Hospital,NICU Registered Nurse,Healthcare,Healthcare,Health and Medicine,Health and Medicine
297,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Whiting Petroleum Corporation,SCADA Systems Analyst II,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
298,2014,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Unknown,NA,Education,Education,Education,Education
299,2014,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Knobbe Martens,Associate,Law,NA,Government and Social Services,Government and Social Services
300,2018,Chemistry,Natural Sciences,Biology,Natural Sciences,NA,NA,Miami-Dade County,Pollution Control Inspector,Government,Government,Government and Social Services,Government and Social Services
